243;SAN JUAN DE LOPECANCHA;activo;2;16;2/01/1900;3/01/1900
244;SANTA CATALINA;activo;2;16;2/01/1900;3/01/1900
245;SANTO TOMAS;activo;2;16;2/01/1900;3/01/1900
246;TINGO;activo;2;16;2/01/1900;3/01/1900
247;TRITA;activo;2;16;2/01/1900;3/01/1900
248;SAN NICOLAS (Mendoza);activo;2;17;2/01/1900;3/01/1900
249;CHIRIMOTO;activo;2;17;2/01/1900;3/01/1900
250;COCHAMAL;activo;2;17;2/01/1900;3/01/1900
251;HUAMBO;activo;2;17;2/01/1900;3/01/1900
252;LIMABAMBA;activo;2;17;2/01/1900;3/01/1900
253;LONGAR;activo;2;17;2/01/1900;3/01/1900
254;MARISCAL BENAVIDES;activo;2;17;2/01/1900;3/01/1900
255;MILPUC;activo;2;17;2/01/1900;3/01/1900
256;OMIA;activo;2;17;2/01/1900;3/01/1900
257;SANTA ROSA (Sta. Rosa de Huayabamba);activo;2;17;2/01/1900;3/01/1900
258;TOTORA;activo;2;17;2/01/1900;3/01/1900
259;VISTA ALEGRE;activo;2;17;2/01/1900;3/01/1900
260;BAGUA GRANDE;activo;2;18;2/01/1900;3/01/1900
261;CAJARURO;activo;2;18;2/01/1900;3/01/1900
262;CUMBA;activo;2;18;2/01/1900;3/01/1900
263;EL MILAGRO;activo;2;18;2/01/1900;3/01/1900
264;JAMALCA;activo;2;18;2/01/1900;3/01/1900
265;LONYA GRANDE;activo;2;18;2/01/1900;3/01/1900
266;YAMON;activo;2;18;2/01/1900;3/01/1900
267;AIJA;activo;3;19;2/01/1900;3/01/1900
268;CORIS;activo;3;19;2/01/1900;3/01/1900
269;HUACLLAN;activo;3;19;2/01/1900;3/01/1900
270;LA MERCED;activo;3;19;2/01/1900;3/01/1900
271;SUCCHA;activo;3;19;2/01/1900;3/01/1900
272;LLAMELLIN;activo;3;20;2/01/1900;3/01/1900
273;ACZO;activo;3;20;2/01/1900;3/01/1900
274;CHACCHO;activo;3;20;2/01/1900;3/01/1900
275;CHINGAS;activo;3;20;2/01/1900;3/01/1900
276;MIRGAS;activo;3;20;2/01/1900;3/01/1900
277;SAN JUAN DE RONTOY;activo;3;20;2/01/1900;3/01/1900
278;CHACAS;activo;3;21;2/01/1900;3/01/1900
279;ACOCHACA;activo;3;21;2/01/1900;3/01/1900
280;CHIQUIAN;activo;3;22;2/01/1900;3/01/1900
281;ABELARDO PARDO LEZAMETA (Llaclla);activo;3;22;2/01/1900;3/01/1900
282;ANTONIO RAYMONDI (Raquia);activo;3;22;2/01/1900;3/01/1900
283;AQUIA;activo;3;22;2/01/1900;3/01/1900
284;CAJACAY;activo;3;22;2/01/1900;3/01/1900
285;CANIS;activo;3;22;2/01/1900;3/01/1900
286;COLQUIOC (Chasquitambo);activo;3;22;2/01/1900;3/01/1900
287;HUALLANCA;activo;3;22;2/01/1900;3/01/1900
288;HUASTA;activo;3;22;2/01/1900;3/01/1900
289;HUAYLLACAYAN;activo;3;22;2/01/1900;3/01/1900
290;LA PRIMAVERA (Gorgorillo);activo;3;22;2/01/1900;3/01/1900
291;MANGAS;activo;3;22;2/01/1900;3/01/1900
292;PACLLON;activo;3;22;2/01/1900;3/01/1900
293;S. MGEL DE CORPANQUI;activo;3;22;2/01/1900;3/01/1900
294;TICLLOS;activo;3;22;2/01/1900;3/01/1900
295;CARHUAZ;activo;3;23;2/01/1900;3/01/1900
296;ACOPAMPA;activo;3;23;2/01/1900;3/01/1900
297;AMASHCA;activo;3;23;2/01/1900;3/01/1900
298;ANTA;activo;3;23;2/01/1900;3/01/1900
299;ATAQUERO (Carhuac);activo;3;23;2/01/1900;3/01/1900
300;MARCARA;activo;3;23;2/01/1900;3/01/1900
301;PARIAHUANCA;activo;3;23;2/01/1900;3/01/1900
302;SAN MIGUEL DE ACO (Aco);activo;3;23;2/01/1900;3/01/1900
303;SHILLA;activo;3;23;2/01/1900;3/01/1900
304;TINCO;activo;3;23;2/01/1900;3/01/1900
305;YUNGAR;activo;3;23;2/01/1900;3/01/1900
306;SAN LUIS;activo;3;24;2/01/1900;3/01/1900
307;SAN NICOLAS;activo;3;24;2/01/1900;3/01/1900
308;YAUYA;activo;3;24;2/01/1900;3/01/1900
309;CASMA;activo;3;25;2/01/1900;3/01/1900
310;buena vista alta;activo;3;25;2/01/1900;3/01/1900
311;COMANDANTE NOEL;activo;3;25;2/01/1900;3/01/1900
312;YAUTAN;activo;3;25;2/01/1900;3/01/1900
313;CORONGO;activo;3;26;2/01/1900;3/01/1900
314;ACO;activo;3;26;2/01/1900;3/01/1900
315;BAMBAS;activo;3;26;2/01/1900;3/01/1900
316;CUSCA;activo;3;26;2/01/1900;3/01/1900
317;LA PAMPA;activo;3;26;2/01/1900;3/01/1900
318;YANAC;activo;3;26;2/01/1900;3/01/1900
319;YUPAN;activo;3;26;2/01/1900;3/01/1900
320;HUARI;activo;3;27;2/01/1900;3/01/1900
321;ANRA;activo;3;27;2/01/1900;3/01/1900
322;CAJAY;activo;3;27;2/01/1900;3/01/1900
323;CHAVIN DE HUANTAR;activo;3;27;2/01/1900;3/01/1900
